Day,Month,Year,Store,Dept,Type,IsHoliday,MarkDown2,CPI
3,5,2013,2,8,1,0,21.98,
3,5,2013,2,9,1,0,21.98,
3,5,2013,2,10,1,0,21.98,
3,5,2013,2,11,1,0,21.98,
3,5,2013,2,12,1,0,21.98,
3,5,2013,2,13,1,0,21.98,
3,5,2013,2,14,1,0,21.98,
3,5,2013,2,16,1,0,21.98,
3,5,2013,2,17,1,0,21.98,
3,5,2013,2,18,1,0,21.98,
3,5,2013,2,19,1,0,21.98,
3,5,2013,2,20,1,0,21.98,
3,5,2013,2,21,1,0,21.98,
3,5,2013,2,22,1,0,21.98,
3,5,2013,2,23,1,0,21.98,
3,5,2013,2,24,1,0,21.98,
3,5,2013,2,25,1,0,21.98,
3,5,2013,2,26,1,0,21.98,
3,5,2013,2,27,1,0,21.98,
3,5,2013,2,28,1,0,21.98,
3,5,2013,2,29,1,0,21.98,
3,5,2013,2,30,1,0,21.98,
3,5,2013,2,31,1,0,21.98,
3,5,2013,2,32,1,0,21.98,
3,5,2013,2,33,1,0,21.98,
3,5,2013,2,34,1,0,21.98,
3,5,2013,2,35,1,0,21.98,
3,5,2013,2,36,1,0,21.98,
3,5,2013,2,37,1,0,21.98,
3,5,2013,2,38,1,0,21.98,
3,5,2013,2,39,1,0,21.98,
3,5,2013,2,40,1,0,21.98,
3,5,2013,2,41,1,0,21.98,
3,5,2013,2,42,1,0,21.98,
3,5,2013,2,44,1,0,21.98,
3,5,2013,2,45,1,0,21.98,
3,5,2013,2,46,1,0,21.98,
3,5,2013,2,47,1,0,21.98,
3,5,2013,2,48,1,0,21.98,
3,5,2013,2,49,1,0,21.98,
3,5,2013,2,51,1,0,21.98,
3,5,2013,2,52,1,0,21.98,
3,5,2013,2,54,1,0,21.98,
3,5,2013,2,55,1,0,21.98,
3,5,2013,2,56,1,0,21.98,
3,5,2013,2,58,1,0,21.98,
3,5,2013,2,59,1,0,21.98,
3,5,2013,2,60,1,0,21.98,
3,5,2013,2,67,1,0,21.98,
3,5,2013,2,71,1,0,21.98,
3,5,2013,2,72,1,0,21.98,
3,5,2013,2,74,1,0,21.98,
3,5,2013,2,77,1,0,21.98,
3,5,2013,2,78,1,0,21.98,
3,5,2013,2,79,1,0,21.98,
3,5,2013,2,80,1,0,21.98,
3,5,2013,2,81,1,0,21.98,
3,5,2013,2,82,1,0,21.98,
3,5,2013,2,83,1,0,21.98,
3,5,2013,2,85,1,0,21.98,
3,5,2013,2,87,1,0,21.98,
3,5,2013,2,90,1,0,21.98,
3,5,2013,2,91,1,0,21.98,
3,5,2013,2,92,1,0,21.98,
3,5,2013,2,93,1,0,21.98,
3,5,2013,2,94,1,0,21.98,
3,5,2013,2,95,1,0,21.98,
3,5,2013,2,96,1,0,21.98,
3,5,2013,2,97,1,0,21.98,
3,5,2013,2,98,1,0,21.98,
3,5,2013,2,99,1,0,21.98,
3,5,2013,3,1,2,0,13.0,
3,5,2013,3,2,2,0,13.0,
3,5,2013,3,3,2,0,13.0,
3,5,2013,3,4,2,0,13.0,
3,5,2013,3,5,2,0,13.0,
3,5,2013,3,6,2,0,13.0,
3,5,2013,3,7,2,0,13.0,
3,5,2013,3,8,2,0,13.0,
3,5,2013,3,9,2,0,13.0,
3,5,2013,3,10,2,0,13.0,
3,5,2013,3,11,2,0,13.0,
3,5,2013,3,12,2,0,13.0,
3,5,2013,3,13,2,0,13.0,
3,5,2013,3,14,2,0,13.0,
3,5,2013,3,16,2,0,13.0,
3,5,2013,3,17,2,0,13.0,
3,5,2013,3,18,2,0,13.0,
3,5,2013,3,19,2,0,13.0,
3,5,2013,3,20,2,0,13.0,
3,5,2013,3,21,2,0,13.0,
3,5,2013,3,22,2,0,13.0,
3,5,2013,3,23,2,0,13.0,
3,5,2013,3,24,2,0,13.0,
3,5,2013,3,25,2,0,13.0,
3,5,2013,3,26,2,0,13.0,
3,5,2013,3,27,2,0,13.0,
3,5,2013,3,28,2,0,13.0,
3,5,2013,3,29,2,0,13.0,
3,5,2013,3,30,2,0,13.0,
3,5,2013,3,31,2,0,13.0,
3,5,2013,3,32,2,0,13.0,
3,5,2013,3,33,2,0,13.0,
3,5,2013,3,34,2,0,13.0,
3,5,2013,3,35,2,0,13.0,
3,5,2013,3,36,2,0,13.0,
3,5,2013,3,38,2,0,13.0,
3,5,2013,3,40,2,0,13.0,
3,5,2013,3,41,2,0,13.0,
3,5,2013,3,42,2,0,13.0,
3,5,2013,3,44,2,0,13.0,
3,5,2013,3,45,2,0,13.0,
3,5,2013,3,46,2,0,13.0,
3,5,2013,3,47,2,0,13.0,
3,5,2013,3,49,2,0,13.0,
3,5,2013,3,51,2,0,13.0,
3,5,2013,3,52,2,0,13.0,
3,5,2013,3,54,2,0,13.0,
3,5,2013,3,55,2,0,13.0,
3,5,2013,3,56,2,0,13.0,
3,5,2013,3,59,2,0,13.0,
3,5,2013,3,60,2,0,13.0,
3,5,2013,3,67,2,0,13.0,
3,5,2013,3,71,2,0,13.0,
3,5,2013,3,72,2,0,13.0,
3,5,2013,3,74,2,0,13.0,
3,5,2013,3,77,2,0,13.0,
3,5,2013,3,78,2,0,13.0,
3,5,2013,3,79,2,0,13.0,
3,5,2013,3,80,2,0,13.0,
3,5,2013,3,81,2,0,13.0,
3,5,2013,3,82,2,0,13.0,
3,5,2013,3,83,2,0,13.0,
3,5,2013,3,85,2,0,13.0,
3,5,2013,3,87,2,0,13.0,
3,5,2013,3,90,2,0,13.0,
3,5,2013,3,91,2,0,13.0,
3,5,2013,3,92,2,0,13.0,
3,5,2013,3,94,2,0,13.0,
3,5,2013,3,95,2,0,13.0,
3,5,2013,3,96,2,0,13.0,
3,5,2013,3,97,2,0,13.0,
3,5,2013,3,98,2,0,13.0,
3,5,2013,4,1,1,0,14.0,
3,5,2013,4,2,1,0,14.0,
3,5,2013,4,3,1,0,14.0,
3,5,2013,4,4,1,0,14.0,
3,5,2013,4,5,1,0,14.0,
3,5,2013,4,6,1,0,14.0,
3,5,2013,4,7,1,0,14.0,
3,5,2013,4,8,1,0,14.0,
3,5,2013,4,9,1,0,14.0,
3,5,2013,4,10,1,0,14.0,
3,5,2013,4,11,1,0,14.0,
3,5,2013,4,12,1,0,14.0,
3,5,2013,4,13,1,0,14.0,
3,5,2013,4,14,1,0,14.0,
3,5,2013,4,16,1,0,14.0,
3,5,2013,4,17,1,0,14.0,
3,5,2013,4,18,1,0,14.0,
3,5,2013,4,19,1,0,14.0,
3,5,2013,4,20,1,0,14.0,
3,5,2013,4,21,1,0,14.0,
3,5,2013,4,22,1,0,14.0,
3,5,2013,4,23,1,0,14.0,
3,5,2013,4,24,1,0,14.0,
3,5,2013,4,25,1,0,14.0,
3,5,2013,4,26,1,0,14.0,
3,5,2013,4,27,1,0,14.0,
3,5,2013,4,28,1,0,14.0,
3,5,2013,4,29,1,0,14.0,
3,5,2013,4,30,1,0,14.0,
3,5,2013,4,31,1,0,14.0,
3,5,2013,4,32,1,0,14.0,
3,5,2013,4,33,1,0,14.0,
3,5,2013,4,34,1,0,14.0,
3,5,2013,4,35,1,0,14.0,
3,5,2013,4,36,1,0,14.0,
3,5,2013,4,37,1,0,14.0,
3,5,2013,4,38,1,0,14.0,
3,5,2013,4,39,1,0,14.0,
3,5,2013,4,40,1,0,14.0,
3,5,2013,4,41,1,0,14.0,
3,5,2013,4,42,1,0,14.0,
3,5,2013,4,44,1,0,14.0,
3,5,2013,4,45,1,0,14.0,
3,5,2013,4,46,1,0,14.0,
3,5,2013,4,47,1,0,14.0,
3,5,2013,4,48,1,0,14.0,
3,5,2013,4,49,1,0,14.0,
3,5,2013,4,51,1,0,14.0,
3,5,2013,4,52,1,0,14.0,
3,5,2013,4,54,1,0,14.0,
3,5,2013,4,55,1,0,14.0,
3,5,2013,4,56,1,0,14.0,
3,5,2013,4,58,1,0,14.0,
3,5,2013,4,59,1,0,14.0,
3,5,2013,4,60,1,0,14.0,
3,5,2013,4,67,1,0,14.0,
3,5,2013,4,71,1,0,14.0,
3,5,2013,4,72,1,0,14.0,
3,5,2013,4,74,1,0,14.0,
3,5,2013,4,77,1,0,14.0,
3,5,2013,4,78,1,0,14.0,
3,5,2013,4,79,1,0,14.0,
3,5,2013,4,80,1,0,14.0,
3,5,2013,4,81,1,0,14.0,
3,5,2013,4,82,1,0,14.0,
3,5,2013,4,83,1,0,14.0,
3,5,2013,4,85,1,0,14.0,
3,5,2013,4,87,1,0,14.0,
3,5,2013,4,90,1,0,14.0,
3,5,2013,4,91,1,0,14.0,
3,5,2013,4,92,1,0,14.0,
3,5,2013,4,93,1,0,14.0,
3,5,2013,4,94,1,0,14.0,
3,5,2013,4,95,1,0,14.0,
3,5,2013,4,96,1,0,14.0,
3,5,2013,4,97,1,0,14.0,
3,5,2013,4,98,1,0,14.0,
3,5,2013,4,99,1,0,14.0,
3,5,2013,5,1,2,0,5.0,
3,5,2013,5,2,2,0,5.0,
3,5,2013,5,3,2,0,5.0,
3,5,2013,5,4,2,0,5.0,
3,5,2013,5,5,2,0,5.0,
3,5,2013,5,6,2,0,5.0,
3,5,2013,5,7,2,0,5.0,
3,5,2013,5,8,2,0,5.0,
3,5,2013,5,9,2,0,5.0,
3,5,2013,5,10,2,0,5.0,
3,5,2013,5,11,2,0,5.0,
3,5,2013,5,12,2,0,5.0,
3,5,2013,5,13,2,0,5.0,
3,5,2013,5,14,2,0,5.0,
3,5,2013,5,16,2,0,5.0,
3,5,2013,5,17,2,0,5.0,
3,5,2013,5,18,2,0,5.0,
3,5,2013,5,19,2,0,5.0,
3,5,2013,5,20,2,0,5.0,
3,5,2013,5,21,2,0,5.0,
3,5,2013,5,22,2,0,5.0,
3,5,2013,5,23,2,0,5.0,
3,5,2013,5,24,2,0,5.0,
3,5,2013,5,25,2,0,5.0,
3,5,2013,5,26,2,0,5.0,
3,5,2013,5,27,2,0,5.0,
3,5,2013,5,28,2,0,5.0,
3,5,2013,5,29,2,0,5.0,
3,5,2013,5,30,2,0,5.0,
3,5,2013,5,31,2,0,5.0,
3,5,2013,5,32,2,0,5.0,
3,5,2013,5,33,2,0,5.0,
3,5,2013,5,34,2,0,5.0,
3,5,2013,5,35,2,0,5.0,
3,5,2013,5,36,2,0,5.0,
3,5,2013,5,38,2,0,5.0,
3,5,2013,5,40,2,0,5.0,
3,5,2013,5,41,2,0,5.0,
3,5,2013,5,42,2,0,5.0,
3,5,2013,5,44,2,0,5.0,
3,5,2013,5,45,2,0,5.0,
3,5,2013,5,46,2,0,5.0,
3,5,2013,5,47,2,0,5.0,
3,5,2013,5,49,2,0,5.0,
3,5,2013,5,51,2,0,5.0,
3,5,2013,5,52,2,0,5.0,
3,5,2013,5,54,2,0,5.0,
3,5,2013,5,55,2,0,5.0,
3,5,2013,5,56,2,0,5.0,
3,5,2013,5,58,2,0,5.0,
3,5,2013,5,59,2,0,5.0,
3,5,2013,5,60,2,0,5.0,
3,5,2013,5,67,2,0,5.0,
3,5,2013,5,71,2,0,5.0,
3,5,2013,5,72,2,0,5.0,
3,5,2013,5,74,2,0,5.0,
3,5,2013,5,77,2,0,5.0,
3,5,2013,5,78,2,0,5.0,
3,5,2013,5,79,2,0,5.0,
3,5,2013,5,80,2,0,5.0,
3,5,2013,5,81,2,0,5.0,
3,5,2013,5,82,2,0,5.0,
3,5,2013,5,85,2,0,5.0,
3,5,2013,5,87,2,0,5.0,
3,5,2013,5,90,2,0,5.0,
3,5,2013,5,91,2,0,5.0,
3,5,2013,5,92,2,0,5.0,
3,5,2013,5,94,2,0,5.0,
3,5,2013,5,95,2,0,5.0,
3,5,2013,5,96,2,0,5.0,
3,5,2013,5,97,2,0,5.0,
3,5,2013,5,98,2,0,5.0,
3,5,2013,6,1,1,0,22.88,
3,5,2013,6,2,1,0,22.88,
3,5,2013,6,3,1,0,22.88,
3,5,2013,6,4,1,0,22.88,
3,5,2013,6,5,1,0,22.88,
3,5,2013,6,6,1,0,22.88,
3,5,2013,6,7,1,0,22.88,
3,5,2013,6,8,1,0,22.88,
3,5,2013,6,9,1,0,22.88,
3,5,2013,6,10,1,0,22.88,
3,5,2013,6,11,1,0,22.88,
3,5,2013,6,12,1,0,22.88,
3,5,2013,6,13,1,0,22.88,
3,5,2013,6,14,1,0,22.88,
3,5,2013,6,16,1,0,22.88,
3,5,2013,6,17,1,0,22.88,
3,5,2013,6,18,1,0,22.88,
3,5,2013,6,19,1,0,22.88,
3,5,2013,6,20,1,0,22.88,
3,5,2013,6,21,1,0,22.88,
3,5,2013,6,22,1,0,22.88,
3,5,2013,6,23,1,0,22.88,
3,5,2013,6,24,1,0,22.88,
3,5,2013,6,25,1,0,22.88,
3,5,2013,6,26,1,0,22.88,
3,5,2013,6,27,1,0,22.88,
3,5,2013,6,28,1,0,22.88,
3,5,2013,6,29,1,0,22.88,
3,5,2013,6,30,1,0,22.88,
3,5,2013,6,31,1,0,22.88,
3,5,2013,6,32,1,0,22.88,
3,5,2013,6,33,1,0,22.88,
3,5,2013,6,34,1,0,22.88,
3,5,2013,6,35,1,0,22.88,
3,5,2013,6,36,1,0,22.88,
3,5,2013,6,37,1,0,22.88,
3,5,2013,6,38,1,0,22.88,
3,5,2013,6,40,1,0,22.88,
3,5,2013,6,41,1,0,22.88,
3,5,2013,6,42,1,0,22.88,
3,5,2013,6,44,1,0,22.88,
3,5,2013,6,45,1,0,22.88,
3,5,2013,6,46,1,0,22.88,
3,5,2013,6,47,1,0,22.88,
3,5,2013,6,48,1,0,22.88,
3,5,2013,6,49,1,0,22.88,
3,5,2013,6,51,1,0,22.88,
3,5,2013,6,52,1,0,22.88,
3,5,2013,6,54,1,0,22.88,
3,5,2013,6,55,1,0,22.88,
3,5,2013,6,56,1,0,22.88,
3,5,2013,6,58,1,0,22.88,
3,5,2013,6,59,1,0,22.88,
3,5,2013,6,60,1,0,22.88,
3,5,2013,6,67,1,0,22.88,
3,5,2013,6,71,1,0,22.88,
3,5,2013,6,72,1,0,22.88,
3,5,2013,6,74,1,0,22.88,
3,5,2013,6,77,1,0,22.88,
3,5,2013,6,78,1,0,22.88,
3,5,2013,6,79,1,0,22.88,
3,5,2013,6,80,1,0,22.88,
3,5,2013,6,81,1,0,22.88,
3,5,2013,6,82,1,0,22.88,
3,5,2013,6,83,1,0,22.88,
3,5,2013,6,85,1,0,22.88,
3,5,2013,6,87,1,0,22.88,
3,5,2013,6,90,1,0,22.88,
3,5,2013,6,91,1,0,22.88,
3,5,2013,6,92,1,0,22.88,
3,5,2013,6,93,1,0,22.88,
3,5,2013,6,94,1,0,22.88,
3,5,2013,6,95,1,0,22.88,
3,5,2013,6,96,1,0,22.88,
3,5,2013,6,97,1,0,22.88,
3,5,2013,6,98,1,0,22.88,
3,5,2013,6,99,1,0,22.88,
3,5,2013,7,1,2,0,6.194799999999995,
3,5,2013,7,2,2,0,6.194799999999995,
3,5,2013,7,3,2,0,6.194799999999995,
3,5,2013,7,4,2,0,6.194799999999995,
3,5,2013,7,5,2,0,6.194799999999995,
3,5,2013,7,6,2,0,6.194799999999995,
3,5,2013,7,7,2,0,6.194799999999995,
3,5,2013,7,8,2,0,6.194799999999995,
3,5,2013,7,9,2,0,6.194799999999995,
3,5,2013,7,10,2,0,6.194799999999995,
3,5,2013,7,11,2,0,6.194799999999995,
3,5,2013,7,12,2,0,6.194799999999995,
3,5,2013,7,13,2,0,6.194799999999995,
3,5,2013,7,14,2,0,6.194799999999995,
3,5,2013,7,16,2,0,6.194799999999995,
3,5,2013,7,17,2,0,6.194799999999995,
3,5,2013,7,18,2,0,6.194799999999995,
3,5,2013,7,19,2,0,6.194799999999995,
3,5,2013,7,20,2,0,6.194799999999995,
3,5,2013,7,21,2,0,6.194799999999995,
3,5,2013,7,22,2,0,6.194799999999995,
3,5,2013,7,23,2,0,6.194799999999995,
3,5,2013,7,24,2,0,6.194799999999995,
3,5,2013,7,25,2,0,6.194799999999995,
3,5,2013,7,26,2,0,6.194799999999995,
3,5,2013,7,27,2,0,6.194799999999995,
3,5,2013,7,28,2,0,6.194799999999995,
3,5,2013,7,29,2,0,6.194799999999995,
3,5,2013,7,30,2,0,6.194799999999995,
3,5,2013,7,31,2,0,6.194799999999995,
3,5,2013,7,32,2,0,6.194799999999995,
3,5,2013,7,33,2,0,6.194799999999995,
3,5,2013,7,34,2,0,6.194799999999995,
3,5,2013,7,35,2,0,6.194799999999995,
3,5,2013,7,36,2,0,6.194799999999995,
3,5,2013,7,38,2,0,6.194799999999995,
3,5,2013,7,40,2,0,6.194799999999995,
3,5,2013,7,41,2,0,6.194799999999995,
3,5,2013,7,42,2,0,6.194799999999995,
3,5,2013,7,44,2,0,6.194799999999995,
3,5,2013,7,45,2,0,6.194799999999995,
3,5,2013,7,46,2,0,6.194799999999995,
3,5,2013,7,47,2,0,6.194799999999995,
3,5,2013,7,48,2,0,6.194799999999995,
3,5,2013,7,49,2,0,6.194799999999995,
3,5,2013,7,51,2,0,6.194799999999995,
3,5,2013,7,52,2,0,6.194799999999995,
3,5,2013,7,54,2,0,6.194799999999995,
3,5,2013,7,55,2,0,6.194799999999995,
3,5,2013,7,56,2,0,6.194799999999995,
3,5,2013,7,58,2,0,6.194799999999995,
3,5,2013,7,59,2,0,6.194799999999995,
3,5,2013,7,60,2,0,6.194799999999995,
3,5,2013,7,67,2,0,6.194799999999995,
3,5,2013,7,71,2,0,6.194799999999995,
3,5,2013,7,72,2,0,6.194799999999995,
3,5,2013,7,74,2,0,6.194799999999995,
3,5,2013,7,77,2,0,6.194799999999995,
3,5,2013,7,78,2,0,6.194799999999995,
3,5,2013,7,79,2,0,6.194799999999995,
3,5,2013,7,80,2,0,6.194799999999995,
3,5,2013,7,81,2,0,6.194799999999995,
3,5,2013,7,82,2,0,6.194799999999995,
3,5,2013,7,83,2,0,6.194799999999995,
3,5,2013,7,85,2,0,6.194799999999995,
3,5,2013,7,87,2,0,6.194799999999995,
3,5,2013,7,90,2,0,6.194799999999995,
3,5,2013,7,91,2,0,6.194799999999995,
3,5,2013,7,92,2,0,6.194799999999995,
3,5,2013,7,93,2,0,6.194799999999995,
3,5,2013,7,94,2,0,6.194799999999995,
3,5,2013,7,95,2,0,6.194799999999995,
3,5,2013,7,96,2,0,6.194799999999995,
3,5,2013,7,97,2,0,6.194799999999995,
3,5,2013,7,98,2,0,6.194799999999995,
3,5,2013,7,99,2,0,6.194799999999995,
3,5,2013,8,1,1,0,37.92,
3,5,2013,8,2,1,0,37.92,
3,5,2013,8,3,1,0,37.92,
3,5,2013,8,4,1,0,37.92,
3,5,2013,8,5,1,0,37.92,
3,5,2013,8,6,1,0,37.92,
3,5,2013,8,7,1,0,37.92,
3,5,2013,8,8,1,0,37.92,
3,5,2013,8,9,1,0,37.92,
3,5,2013,8,10,1,0,37.92,
3,5,2013,8,11,1,0,37.92,
3,5,2013,8,12,1,0,37.92,
3,5,2013,8,13,1,0,37.92,
3,5,2013,8,14,1,0,37.92,
3,5,2013,8,16,1,0,37.92,
3,5,2013,8,17,1,0,37.92,
3,5,2013,8,18,1,0,37.92,
3,5,2013,8,19,1,0,37.92,
3,5,2013,8,20,1,0,37.92,
3,5,2013,8,21,1,0,37.92,
3,5,2013,8,22,1,0,37.92,
3,5,2013,8,23,1,0,37.92,
3,5,2013,8,24,1,0,37.92,
3,5,2013,8,25,1,0,37.92,
3,5,2013,8,26,1,0,37.92,
3,5,2013,8,27,1,0,37.92,
3,5,2013,8,28,1,0,37.92,
3,5,2013,8,29,1,0,37.92,
3,5,2013,8,30,1,0,37.92,
3,5,2013,8,31,1,0,37.92,
3,5,2013,8,32,1,0,37.92,
3,5,2013,8,33,1,0,37.92,
3,5,2013,8,34,1,0,37.92,
3,5,2013,8,35,1,0,37.92,
3,5,2013,8,36,1,0,37.92,
3,5,2013,8,37,1,0,37.92,
3,5,2013,8,38,1,0,37.92,
3,5,2013,8,40,1,0,37.92,
3,5,2013,8,41,1,0,37.92,
3,5,2013,8,42,1,0,37.92,
3,5,2013,8,44,1,0,37.92,
3,5,2013,8,45,1,0,37.92,
3,5,2013,8,46,1,0,37.92,
3,5,2013,8,47,1,0,37.92,
3,5,2013,8,49,1,0,37.92,
3,5,2013,8,51,1,0,37.92,
3,5,2013,8,52,1,0,37.92,
3,5,2013,8,54,1,0,37.92,
3,5,2013,8,55,1,0,37.92,
3,5,2013,8,56,1,0,37.92,
3,5,2013,8,58,1,0,37.92,
3,5,2013,8,59,1,0,37.92,
3,5,2013,8,60,1,0,37.92,
3,5,2013,8,67,1,0,37.92,
3,5,2013,8,71,1,0,37.92,
3,5,2013,8,72,1,0,37.92,
3,5,2013,8,74,1,0,37.92,
3,5,2013,8,77,1,0,37.92,
3,5,2013,8,78,1,0,37.92,
3,5,2013,8,79,1,0,37.92,
3,5,2013,8,80,1,0,37.92,
3,5,2013,8,81,1,0,37.92,
3,5,2013,8,82,1,0,37.92,
3,5,2013,8,83,1,0,37.92,
3,5,2013,8,85,1,0,37.92,
3,5,2013,8,87,1,0,37.92,
3,5,2013,8,90,1,0,37.92,
3,5,2013,8,91,1,0,37.92,
3,5,2013,8,92,1,0,37.92,
3,5,2013,8,93,1,0,37.92,
3,5,2013,8,94,1,0,37.92,
3,5,2013,8,95,1,0,37.92,
3,5,2013,8,96,1,0,37.92,
3,5,2013,8,97,1,0,37.92,
3,5,2013,8,98,1,0,37.92,
3,5,2013,8,99,1,0,37.92,
3,5,2013,9,1,2,0,7.059999999999986,
3,5,2013,9,2,2,0,7.059999999999986,
3,5,2013,9,3,2,0,7.059999999999986,
3,5,2013,9,4,2,0,7.059999999999986,
3,5,2013,9,5,2,0,7.059999999999986,
3,5,2013,9,6,2,0,7.059999999999986,
3,5,2013,9,7,2,0,7.059999999999986,
3,5,2013,9,8,2,0,7.059999999999986,
3,5,2013,9,9,2,0,7.059999999999986,
3,5,2013,9,10,2,0,7.059999999999986,
3,5,2013,9,11,2,0,7.059999999999986,
3,5,2013,9,12,2,0,7.059999999999986,
3,5,2013,9,13,2,0,7.059999999999986,
3,5,2013,9,14,2,0,7.059999999999986,
3,5,2013,9,16,2,0,7.059999999999986,
3,5,2013,9,17,2,0,7.059999999999986,
3,5,2013,9,18,2,0,7.059999999999986,
3,5,2013,9,19,2,0,7.059999999999986,
3,5,2013,9,20,2,0,7.059999999999986,
3,5,2013,9,21,2,0,7.059999999999986,
3,5,2013,9,22,2,0,7.059999999999986,
3,5,2013,9,23,2,0,7.059999999999986,
3,5,2013,9,24,2,0,7.059999999999986,
3,5,2013,9,25,2,0,7.059999999999986,
3,5,2013,9,26,2,0,7.059999999999986,
3,5,2013,9,27,2,0,7.059999999999986,
3,5,2013,9,28,2,0,7.059999999999986,
3,5,2013,9,29,2,0,7.059999999999986,
3,5,2013,9,30,2,0,7.059999999999986,
3,5,2013,9,31,2,0,7.059999999999986,
3,5,2013,9,32,2,0,7.059999999999986,
3,5,2013,9,33,2,0,7.059999999999986,
3,5,2013,9,34,2,0,7.059999999999986,
3,5,2013,9,35,2,0,7.059999999999986,
3,5,2013,9,36,2,0,7.059999999999986,
3,5,2013,9,38,2,0,7.059999999999986,
3,5,2013,9,40,2,0,7.059999999999986,
3,5,2013,9,41,2,0,7.059999999999986,
3,5,2013,9,42,2,0,7.059999999999986,
3,5,2013,9,44,2,0,7.059999999999986,
3,5,2013,9,45,2,0,7.059999999999986,
3,5,2013,9,46,2,0,7.059999999999986,
3,5,2013,9,47,2,0,7.059999999999986,
3,5,2013,9,48,2,0,7.059999999999986,
3,5,2013,9,49,2,0,7.059999999999986,
3,5,2013,9,51,2,0,7.059999999999986,
3,5,2013,9,52,2,0,7.059999999999986,
3,5,2013,9,54,2,0,7.059999999999986,
3,5,2013,9,55,2,0,7.059999999999986,
3,5,2013,9,56,2,0,7.059999999999986,
3,5,2013,9,59,2,0,7.059999999999986,
3,5,2013,9,60,2,0,7.059999999999986,
3,5,2013,9,67,2,0,7.059999999999986,
3,5,2013,9,71,2,0,7.059999999999986,
3,5,2013,9,72,2,0,7.059999999999986,
3,5,2013,9,74,2,0,7.059999999999986,
3,5,2013,9,77,2,0,7.059999999999986,
3,5,2013,9,78,2,0,7.059999999999986,
3,5,2013,9,79,2,0,7.059999999999986,
3,5,2013,9,80,2,0,7.059999999999986,
3,5,2013,9,81,2,0,7.059999999999986,
3,5,2013,9,82,2,0,7.059999999999986,
