Day,Month,Year,Store,Dept,Type,IsHoliday,Weekly_Sales,Size
21,5,2010,7,59,2,0,,70713
21,5,2010,11,18,1,0,,207499
21,5,2010,13,18,1,0,,219622
21,5,2010,17,49,2,0,,93188
21,5,2010,18,94,2,0,,120653
21,5,2010,20,47,1,0,,203742
21,5,2010,21,51,2,0,,140167
21,5,2010,22,18,2,0,,119557
21,5,2010,23,18,2,0,,114533
21,5,2010,25,18,2,0,,128107
21,5,2010,27,18,1,0,,204184
21,5,2010,30,18,3,0,,42988
21,5,2010,30,22,3,0,,42988
21,5,2010,33,59,1,0,,39690
21,5,2010,40,18,1,0,,155083
21,5,2010,42,72,3,0,,39690
28,5,2010,3,47,2,0,,37392
28,5,2010,3,54,2,0,,37392
28,5,2010,5,18,2,0,,34875
28,5,2010,5,45,2,0,,34875
28,5,2010,8,18,1,0,,155078
28,5,2010,9,18,2,0,,125833
28,5,2010,9,60,2,0,,125833
28,5,2010,15,94,2,0,,123737
28,5,2010,20,18,1,0,,203742
28,5,2010,21,54,2,0,,140167
28,5,2010,21,80,2,0,,140167
28,5,2010,21,98,2,0,,140167
28,5,2010,22,48,2,0,,119557
28,5,2010,24,18,1,0,,203819
28,5,2010,25,18,2,0,,128107
28,5,2010,26,18,1,0,,152513
28,5,2010,31,18,1,0,,203750
28,5,2010,34,18,1,0,,158114
28,5,2010,35,49,2,0,,103681
28,5,2010,39,18,1,0,,184109
28,5,2010,40,18,1,0,,155083
28,5,2010,41,47,1,0,,196321
28,5,2010,42,31,3,0,,39690
28,5,2010,45,18,2,0,,118221
4,6,2010,6,18,1,0,,202505
4,6,2010,10,78,2,0,,126512
4,6,2010,12,49,2,0,,112238
4,6,2010,14,47,1,0,,200898
4,6,2010,19,47,1,0,,203819
4,6,2010,20,18,1,0,,203742
4,6,2010,21,51,2,0,,140167
4,6,2010,22,18,2,0,,119557
4,6,2010,22,19,2,0,,119557
4,6,2010,23,18,2,0,,114533
4,6,2010,32,18,1,0,,203007
4,6,2010,34,18,1,0,,158114
4,6,2010,39,19,1,0,,184109
4,6,2010,40,18,1,0,,155083
4,6,2010,42,74,3,0,,39690
11,6,2010,1,18,1,0,,151315
11,6,2010,3,18,2,0,,37392
11,6,2010,6,18,1,0,,202505
11,6,2010,7,94,2,0,,70713
11,6,2010,10,98,2,0,,126512
11,6,2010,13,18,1,0,,219622
11,6,2010,14,99,1,0,,200898
11,6,2010,15,18,2,0,,123737
11,6,2010,16,49,2,0,,57197
11,6,2010,18,51,2,0,,120653
11,6,2010,19,18,1,0,,203819
11,6,2010,22,18,2,0,,119557
11,6,2010,22,49,2,0,,119557
11,6,2010,24,18,1,0,,203819
11,6,2010,25,94,2,0,,128107
11,6,2010,26,18,1,0,,152513
11,6,2010,32,18,1,0,,203007
11,6,2010,35,49,2,0,,103681
18,6,2010,3,18,2,0,,37392
18,6,2010,5,18,2,0,,34875
18,6,2010,5,94,2,0,,34875
18,6,2010,10,98,2,0,,126512
18,6,2010,11,47,1,0,,207499
18,6,2010,15,18,2,0,,123737
18,6,2010,15,78,2,0,,123737
18,6,2010,17,49,2,0,,93188
18,6,2010,18,18,2,0,,120653
18,6,2010,18,98,2,0,,120653
18,6,2010,20,18,1,0,,203742
18,6,2010,22,18,2,0,,119557
18,6,2010,26,18,1,0,,152513
18,6,2010,27,18,1,0,,204184
18,6,2010,27,47,1,0,,204184
18,6,2010,31,45,1,0,,203750
18,6,2010,32,18,1,0,,203007
18,6,2010,40,18,1,0,,155083
25,6,2010,5,18,2,0,,34875
25,6,2010,11,18,1,0,,207499
25,6,2010,11,51,1,0,,207499
25,6,2010,13,45,1,0,,219622
25,6,2010,13,51,1,0,,219622
25,6,2010,17,49,2,0,,93188
25,6,2010,17,94,2,0,,93188
25,6,2010,17,98,2,0,,93188
25,6,2010,18,18,2,0,,120653
25,6,2010,18,47,2,0,,120653
25,6,2010,21,51,2,0,,140167
25,6,2010,21,98,2,0,,140167
25,6,2010,22,18,2,0,,119557
25,6,2010,23,78,2,0,,114533
25,6,2010,27,18,1,0,,204184
25,6,2010,27,47,1,0,,204184
25,6,2010,33,44,1,0,,39690
25,6,2010,34,18,1,0,,158114
25,6,2010,40,18,1,0,,155083
25,6,2010,42,74,3,0,,39690
25,6,2010,43,72,3,0,,41062
2,7,2010,1,99,1,0,,151315
2,7,2010,8,18,1,0,,155078
2,7,2010,9,60,2,0,,125833
2,7,2010,10,94,2,0,,126512
2,7,2010,14,18,1,0,,200898
2,7,2010,17,54,2,0,,93188
2,7,2010,18,18,2,0,,120653
2,7,2010,18,51,2,0,,120653
2,7,2010,20,18,1,0,,203742
2,7,2010,22,18,2,0,,119557
2,7,2010,23,18,2,0,,114533
2,7,2010,25,18,2,0,,128107
2,7,2010,31,18,1,0,,203750
2,7,2010,35,47,2,0,,103681
2,7,2010,40,18,1,0,,155083
2,7,2010,45,80,2,0,,118221
9,7,2010,8,47,1,0,,155078
9,7,2010,14,47,1,0,,200898
9,7,2010,15,18,2,0,,123737
9,7,2010,17,49,2,0,,93188
9,7,2010,17,54,2,0,,93188
9,7,2010,18,18,2,0,,120653
9,7,2010,19,47,1,0,,203819
9,7,2010,21,80,2,0,,140167
9,7,2010,25,94,2,0,,128107
9,7,2010,35,18,2,0,,103681
9,7,2010,44,18,3,0,,39910
16,7,2010,12,18,2,0,,112238
16,7,2010,13,18,1,0,,219622
16,7,2010,14,18,1,0,,200898
16,7,2010,15,18,2,0,,123737
16,7,2010,15,47,2,0,,123737
16,7,2010,34,18,1,0,,158114
16,7,2010,41,18,1,0,,196321
23,7,2010,8,45,1,0,,155078
23,7,2010,10,47,2,0,,126512
23,7,2010,11,18,1,0,,207499
23,7,2010,14,19,1,0,,200898
23,7,2010,15,47,2,0,,123737
23,7,2010,17,94,2,0,,93188
23,7,2010,22,94,2,0,,119557
23,7,2010,29,94,2,0,,93638
23,7,2010,31,45,1,0,,203750
23,7,2010,44,18,3,0,,39910
23,7,2010,45,18,2,0,,118221
30,7,2010,2,47,1,0,,202307
30,7,2010,5,56,2,0,,34875
30,7,2010,10,45,2,0,,126512
30,7,2010,10,47,2,0,,126512
30,7,2010,14,47,1,0,,200898
30,7,2010,19,47,1,0,,203819
30,7,2010,22,94,2,0,,119557
30,7,2010,31,47,1,0,,203750
30,7,2010,32,45,1,0,,203007
30,7,2010,35,19,2,0,,103681
6,8,2010,3,18,2,0,,37392
6,8,2010,9,18,2,0,,125833
6,8,2010,10,47,2,0,,126512
6,8,2010,18,18,2,0,,120653
6,8,2010,18,60,2,0,,120653
6,8,2010,18,78,2,0,,120653
6,8,2010,18,94,2,0,,120653
6,8,2010,20,48,1,0,,203742
6,8,2010,23,18,2,0,,114533
6,8,2010,23,98,2,0,,114533
6,8,2010,24,18,1,0,,203819
6,8,2010,30,49,3,0,,42988
6,8,2010,31,18,1,0,,203750
6,8,2010,32,18,1,0,,203007
6,8,2010,35,18,2,0,,103681
6,8,2010,39,19,1,0,,184109
6,8,2010,45,94,2,0,,118221
13,8,2010,22,49,2,0,,119557
13,8,2010,25,18,2,0,,128107
13,8,2010,31,18,1,0,,203750
13,8,2010,39,60,1,0,,184109
13,8,2010,42,44,3,0,,39690
13,8,2010,43,26,3,0,,41062
20,8,2010,2,47,1,0,,202307
20,8,2010,9,18,2,0,,125833
20,8,2010,11,45,1,0,,207499
20,8,2010,31,45,1,0,,203750
20,8,2010,31,47,1,0,,203750
20,8,2010,39,18,1,0,,184109
27,8,2010,10,98,2,0,,126512
27,8,2010,15,94,2,0,,123737
27,8,2010,16,94,2,0,,57197
27,8,2010,21,47,2,0,,140167
27,8,2010,28,43,1,0,,206302
27,8,2010,35,47,2,0,,103681
27,8,2010,39,18,1,0,,184109
27,8,2010,43,32,3,0,,41062
3,9,2010,10,18,2,0,,126512
3,9,2010,12,94,2,0,,112238
3,9,2010,15,94,2,0,,123737
3,9,2010,17,41,2,0,,93188
3,9,2010,28,6,1,0,,206302
3,9,2010,28,47,1,0,,206302
3,9,2010,31,47,1,0,,203750
3,9,2010,37,72,3,0,,39910
3,9,2010,39,18,1,0,,184109
10,9,2010,15,54,2,1,,123737
10,9,2010,15,94,2,1,,123737
10,9,2010,15,98,2,1,,123737
10,9,2010,16,94,2,1,,57197
10,9,2010,20,47,1,1,,203742
10,9,2010,22,49,2,1,,119557
10,9,2010,25,94,2,1,,128107
10,9,2010,29,47,2,1,,93638
10,9,2010,35,98,2,1,,103681
10,9,2010,40,47,1,1,,155083
10,9,2010,41,19,1,1,,196321
10,9,2010,42,44,3,1,,39690
10,9,2010,43,72,3,1,,41062
10,9,2010,45,18,2,1,,118221
17,9,2010,4,47,1,0,,205863
17,9,2010,18,94,2,0,,120653
17,9,2010,21,98,2,0,,140167
17,9,2010,22,49,2,0,,119557
17,9,2010,23,47,2,0,,114533
17,9,2010,23,98,2,0,,114533
17,9,2010,31,47,1,0,,203750
17,9,2010,31,51,1,0,,203750
17,9,2010,31,78,1,0,,203750
17,9,2010,38,25,3,0,,39690
17,9,2010,39,19,1,0,,184109
24,9,2010,9,47,2,0,,125833
24,9,2010,10,47,2,0,,126512
24,9,2010,10,94,2,0,,126512
24,9,2010,14,47,1,0,,200898
24,9,2010,15,54,2,0,,123737
24,9,2010,15,94,2,0,,123737
24,9,2010,35,47,2,0,,103681
24,9,2010,35,80,2,0,,103681
24,9,2010,40,54,1,0,,155083
24,9,2010,41,54,1,0,,196321
24,9,2010,42,74,3,0,,39690
24,9,2010,43,24,3,0,,41062
1,10,2010,11,47,1,0,,207499
1,10,2010,13,51,1,0,,219622
1,10,2010,15,45,2,0,,123737
1,10,2010,18,47,2,0,,120653
1,10,2010,18,78,2,0,,120653
1,10,2010,33,55,1,0,,39690
1,10,2010,34,99,1,0,,158114
1,10,2010,35,49,2,0,,103681
8,10,2010,1,47,1,0,,151315
8,10,2010,15,98,2,0,,123737
8,10,2010,17,41,2,0,,93188
8,10,2010,23,47,2,0,,114533
8,10,2010,28,6,1,0,,206302
8,10,2010,35,94,2,0,,103681
8,10,2010,40,19,1,0,,155083
8,10,2010,42,72,3,0,,39690
8,10,2010,43,32,3,0,,41062
15,10,2010,2,47,1,0,,202307
15,10,2010,10,47,2,0,,126512
15,10,2010,21,48,2,0,,140167
15,10,2010,21,80,2,0,,140167
15,10,2010,45,54,2,0,,118221
22,10,2010,7,49,2,0,,70713
22,10,2010,17,41,2,0,,93188
22,10,2010,22,94,2,0,,119557
22,10,2010,24,99,1,0,,203819
22,10,2010,31,51,1,0,,203750
22,10,2010,31,54,1,0,,203750
22,10,2010,32,45,1,0,,203007
22,10,2010,35,49,2,0,,103681
22,10,2010,42,72,3,0,,39690
29,10,2010,8,54,1,0,,155078
29,10,2010,19,19,1,0,,203819
29,10,2010,27,47,1,0,,204184
29,10,2010,29,94,2,0,,93638
29,10,2010,35,19,2,0,,103681
29,10,2010,43,32,3,0,,41062
5,11,2010,7,94,2,0,,70713
5,11,2010,8,47,1,0,,155078
5,11,2010,17,49,2,0,,93188
5,11,2010,18,94,2,0,,120653
5,11,2010,19,19,1,0,,203819
5,11,2010,19,47,1,0,,203819
5,11,2010,21,94,2,0,,140167
5,11,2010,29,47,2,0,,93638
12,11,2010,2,54,1,0,,202307
12,11,2010,10,78,2,0,,126512
12,11,2010,10,94,2,0,,126512
12,11,2010,11,19,1,0,,207499
12,11,2010,15,54,2,0,,123737
12,11,2010,15,56,2,0,,123737
12,11,2010,15,94,2,0,,123737
12,11,2010,21,80,2,0,,140167
12,11,2010,21,94,2,0,,140167
12,11,2010,29,48,2,0,,93638
12,11,2010,39,51,1,0,,184109
12,11,2010,41,51,1,0,,196321
19,11,2010,2,47,1,0,,202307
19,11,2010,10,54,2,0,,126512
19,11,2010,31,51,1,0,,203750
19,11,2010,34,54,1,0,,158114
19,11,2010,43,26,3,0,,41062
19,11,2010,45,54,2,0,,118221
26,11,2010,2,47,1,1,,202307
26,11,2010,3,51,2,1,,37392
26,11,2010,7,51,2,1,,70713
26,11,2010,12,51,2,1,,112238
26,11,2010,17,94,2,1,,93188
26,11,2010,21,54,2,1,,140167
26,11,2010,29,54,2,1,,93638
26,11,2010,29,94,2,1,,93638
26,11,2010,31,51,1,1,,203750
26,11,2010,33,44,1,1,,39690
26,11,2010,39,19,1,1,,184109
3,12,2010,5,19,2,0,,34875
3,12,2010,6,45,1,0,,202505
3,12,2010,7,94,2,0,,70713
3,12,2010,11,47,1,0,,207499
3,12,2010,16,94,2,0,,57197
3,12,2010,18,45,2,0,,120653
3,12,2010,18,80,2,0,,120653
3,12,2010,20,47,1,0,,203742
3,12,2010,21,98,2,0,,140167
3,12,2010,22,19,2,0,,119557
3,12,2010,28,47,1,0,,206302
3,12,2010,29,94,2,0,,93638
3,12,2010,38,55,3,0,,39690
3,12,2010,39,19,1,0,,184109
3,12,2010,42,41,3,0,,39690
3,12,2010,44,44,3,0,,39910
10,12,2010,9,47,2,0,,125833
10,12,2010,15,51,2,0,,123737
10,12,2010,17,94,2,0,,93188
10,12,2010,23,80,2,0,,114533
10,12,2010,27,47,1,0,,204184
10,12,2010,31,47,1,0,,203750
10,12,2010,34,99,1,0,,158114
10,12,2010,35,47,2,0,,103681
10,12,2010,38,6,3,0,,39690
10,12,2010,39,19,1,0,,184109
10,12,2010,39,54,1,0,,184109
10,12,2010,41,54,1,0,,196321
17,12,2010,3,51,2,0,,37392
17,12,2010,7,94,2,0,,70713
17,12,2010,10,47,2,0,,126512
17,12,2010,29,51,2,0,,93638
17,12,2010,33,22,1,0,,39690
17,12,2010,43,22,3,0,,41062
17,12,2010,43,72,3,0,,41062
24,12,2010,2,99,1,0,,202307
24,12,2010,29,94,2,0,,93638
24,12,2010,33,59,1,0,,39690
24,12,2010,36,56,1,0,,39910
31,12,2010,8,47,1,1,,155078
31,12,2010,8,54,1,1,,155078
31,12,2010,9,80,2,1,,125833
31,12,2010,12,94,2,1,,112238
31,12,2010,15,47,2,1,,123737
31,12,2010,15,51,2,1,,123737
31,12,2010,15,94,2,1,,123737
31,12,2010,17,41,2,1,,93188
31,12,2010,17,54,2,1,,93188
31,12,2010,17,94,2,1,,93188
31,12,2010,19,47,1,1,,203819
31,12,2010,23,80,2,1,,114533
31,12,2010,26,54,1,1,,152513
31,12,2010,32,47,1,1,,203007
31,12,2010,35,49,2,1,,103681
31,12,2010,35,94,2,1,,103681
31,12,2010,39,47,1,1,,184109
31,12,2010,42,55,3,1,,39690
31,12,2010,42,72,3,1,,39690
31,12,2010,43,72,3,1,,41062
7,1,2011,6,54,1,0,,202505
7,1,2011,9,47,2,0,,125833
7,1,2011,10,47,2,0,,126512
7,1,2011,15,94,2,0,,123737
7,1,2011,17,49,2,0,,93188
7,1,2011,20,54,1,0,,203742
7,1,2011,23,48,2,0,,114533
7,1,2011,23,80,2,0,,114533
7,1,2011,31,54,1,0,,203750
7,1,2011,34,47,1,0,,158114
7,1,2011,35,49,2,0,,103681
7,1,2011,37,85,3,0,,39910
7,1,2011,40,19,1,0,,155083
7,1,2011,41,19,1,0,,196321
7,1,2011,41,54,1,0,,196321
7,1,2011,42,31,3,0,,39690
14,1,2011,2,54,1,0,,202307
14,1,2011,10,98,2,0,,126512
14,1,2011,13,51,1,0,,219622
14,1,2011,16,51,2,0,,57197
14,1,2011,22,54,2,0,,119557
14,1,2011,26,54,1,0,,152513
14,1,2011,32,54,1,0,,203007
14,1,2011,35,77,2,0,,103681
14,1,2011,42,31,3,0,,39690
14,1,2011,43,18,3,0,,41062
14,1,2011,44,27,3,0,,39910
14,1,2011,44,44,3,0,,39910
21,1,2011,1,54,1,0,,151315
21,1,2011,3,77,2,0,,37392
21,1,2011,7,54,2,0,,70713
21,1,2011,10,94,2,0,,126512
21,1,2011,11,19,1,0,,207499
21,1,2011,16,47,2,0,,57197
21,1,2011,17,47,2,0,,93188
21,1,2011,21,98,2,0,,140167
21,1,2011,24,54,1,0,,203819
21,1,2011,35,54,2,0,,103681
21,1,2011,35,98,2,0,,103681
28,1,2011,3,51,2,0,,37392
28,1,2011,12,47,2,0,,112238
28,1,2011,17,41,2,0,,93188
28,1,2011,17,77,2,0,,93188
28,1,2011,19,54,1,0,,203819
28,1,2011,22,19,2,0,,119557
28,1,2011,22,49,2,0,,119557
28,1,2011,30,26,3,0,,42988
28,1,2011,32,54,1,0,,203007
4,2,2011,2,47,1,0,,202307
4,2,2011,7,49,2,0,,70713
4,2,2011,7,94,2,0,,70713
4,2,2011,9,47,2,0,,125833
4,2,2011,11,54,1,0,,207499
4,2,2011,12,47,2,0,,112238
4,2,2011,21,54,2,0,,140167
4,2,2011,24,47,1,0,,203819
4,2,2011,25,94,2,0,,128107
4,2,2011,41,19,1,0,,196321
11,2,2011,5,59,2,1,,34875
11,2,2011,16,47,2,1,,57197
11,2,2011,17,49,2,1,,93188
11,2,2011,21,54,2,1,,140167
11,2,2011,31,51,1,1,,203750
11,2,2011,42,23,3,1,,39690
11,2,2011,45,47,2,1,,118221
11,2,2011,45,49,2,1,,118221
11,2,2011,45,80,2,1,,118221
18,2,2011,3,51,2,0,,37392
18,2,2011,17,41,2,0,,93188
18,2,2011,23,47,2,0,,114533
18,2,2011,42,72,3,0,,39690
25,2,2011,3,51,2,0,,37392
25,2,2011,3,98,2,0,,37392
25,2,2011,6,47,1,0,,202505
25,2,2011,18,98,2,0,,120653
25,2,2011,20,19,1,0,,203742
25,2,2011,23,94,2,0,,114533
25,2,2011,25,94,2,0,,128107
25,2,2011,25,98,2,0,,128107
25,2,2011,29,98,2,0,,93638
25,2,2011,31,51,1,0,,203750
25,2,2011,43,71,3,0,,41062
4,3,2011,3,18,2,0,,37392
4,3,2011,3,51,2,0,,37392
4,3,2011,6,18,1,0,,202505
4,3,2011,7,18,2,0,,70713
4,3,2011,9,18,2,0,,125833
4,3,2011,14,18,1,0,,200898
4,3,2011,15,80,2,0,,123737
4,3,2011,16,93,2,0,,57197
4,3,2011,21,18,2,0,,140167
4,3,2011,25,18,2,0,,128107
4,3,2011,25,94,2,0,,128107
4,3,2011,32,18,1,0,,203007
4,3,2011,35,19,2,0,,103681
4,3,2011,39,18,1,0,,184109
4,3,2011,41,18,1,0,,196321
4,3,2011,41,47,1,0,,196321
4,3,2011,43,18,3,0,,41062
4,3,2011,43,55,3,0,,41062
4,3,2011,44,18,3,0,,39910
4,3,2011,44,71,3,0,,39910
11,3,2011,1,47,1,0,,151315
11,3,2011,6,18,1,0,,202505
11,3,2011,6,54,1,0,,202505
11,3,2011,8,18,1,0,,155078
11,3,2011,10,47,2,0,,126512
11,3,2011,12,49,2,0,,112238
11,3,2011,12,94,2,0,,112238
11,3,2011,16,18,2,0,,57197
11,3,2011,16,94,2,0,,57197
11,3,2011,18,47,2,0,,120653
11,3,2011,21,18,2,0,,140167
11,3,2011,25,18,2,0,,128107
11,3,2011,29,47,2,0,,93638
11,3,2011,31,18,1,0,,203750
11,3,2011,39,47,1,0,,184109
11,3,2011,41,18,1,0,,196321
11,3,2011,44,72,3,0,,39910
18,3,2011,7,18,2,0,,70713
18,3,2011,11,54,1,0,,207499
18,3,2011,12,47,2,0,,112238
18,3,2011,12,94,2,0,,112238
18,3,2011,14,54,1,0,,200898
18,3,2011,21,94,2,0,,140167
18,3,2011,25,54,2,0,,128107
18,3,2011,25,94,2,0,,128107
18,3,2011,34,18,1,0,,158114
18,3,2011,34,51,1,0,,158114
18,3,2011,35,49,2,0,,103681
18,3,2011,35,94,2,0,,103681
18,3,2011,41,54,1,0,,196321
18,3,2011,42,72,3,0,,39690
25,3,2011,9,54,2,0,,125833
25,3,2011,11,47,1,0,,207499
25,3,2011,19,19,1,0,,203819
25,3,2011,23,47,2,0,,114533
25,3,2011,24,54,1,0,,203819
25,3,2011,28,32,1,0,,206302
25,3,2011,35,80,2,0,,103681
25,3,2011,40,54,1,0,,155083
25,3,2011,41,78,1,0,,196321
25,3,2011,45,49,2,0,,118221
1,4,2011,3,51,2,0,,37392
1,4,2011,10,94,2,0,,126512
1,4,2011,11,19,1,0,,207499
1,4,2011,12,47,2,0,,112238
1,4,2011,12,49,2,0,,112238
1,4,2011,18,54,2,0,,120653
1,4,2011,19,47,1,0,,203819
1,4,2011,21,47,2,0,,140167
1,4,2011,21,54,2,0,,140167
1,4,2011,22,19,2,0,,119557
1,4,2011,23,47,2,0,,114533
1,4,2011,34,51,1,0,,158114
1,4,2011,35,47,2,0,,103681
1,4,2011,35,49,2,0,,103681
1,4,2011,38,44,3,0,,39690
1,4,2011,41,19,1,0,,196321
